journal_title,publisher,issn,year,license,jn_published,year_all,year_publisher_all,license_ref_n
2D Materials,IOP Publishing,2053-1583,2014,http://creativecommons.org/licenses/by/3.0,42,708693,10222,7
2D Materials,IOP Publishing,2053-1583,2015,http://creativecommons.org/licenses/by/3.0,122,721351,10827,15
2D Materials,IOP Publishing,2053-1583,2016,http://creativecommons.org/licenses/by/3.0,229,746980,11829,27
2D Materials,IOP Publishing,2053-1583,2017,http://creativecommons.org/licenses/by/3.0,296,792782,11944,53
3D Research,Springer Nature,2092-6731,2013,NA,24,682920,141074,NA
3D Research,Springer Nature,2092-6731,2014,NA,32,708693,150822,NA
3D Research,Springer Nature,2092-6731,2015,NA,42,721351,153820,NA
3D Research,Springer Nature,2092-6731,2016,NA,36,746980,160585,NA
3D Research,Springer Nature,2092-6731,2017,http://creativecommons.org/licenses/by/4.0,40,792782,162006,1
4OR,Springer Nature,1619-4500,2013,NA,27,682920,141074,NA
4OR,Springer Nature,1619-4500,2014,NA,26,708693,150822,NA
4OR,Springer Nature,1619-4500,2015,NA,24,721351,153820,NA
4OR,Springer Nature,1619-4500,2016,http://creativecommons.org/licenses/by/4.0,37,746980,160585,1
4OR,Springer Nature,1619-4500,2017,http://creativecommons.org/licenses/by/4.0,29,792782,162006,1
AAPS PharmSciTech,American Association of Pharmaceutical Scientists (AAPS),1530-9932,2013,NA,151,682920,260,NA
AAPS PharmSciTech,American Association of Pharmaceutical Scientists (AAPS),1530-9932,2014,NA,200,708693,353,NA
AAPS PharmSciTech,American Association of Pharmaceutical Scientists (AAPS),1530-9932,2015,http://creativecommons.org/licenses/by/4.0,206,721351,353,2
AAPS PharmSciTech,American Association of Pharmaceutical Scientists (AAPS),1530-9932,2016,http://creativecommons.org/licenses/by/4.0,226,746980,390,7
AAPS PharmSciTech,American Association of Pharmaceutical Scientists (AAPS),1530-9932,2017,http://creativecommons.org/licenses/by/4.0,240,792782,392,8
Abdominal Radiology,Springer Nature,2366-004X,2015,NA,32,721351,153820,NA
Abdominal Radiology,Springer Nature,2366-004X,2016,http://creativecommons.org/licenses/by/4.0,431,746980,160585,14
